id;filename;text;augmentation_type;intimité;fertilité du language;fluidité;émotions;imaginaire; expert;Vulnerable
103_swap;Entretien 01 25.03.13 01_traitement_A;Donc pour monter un livre, il me faut au minimum 3 pour semaines un seul livre. Donc une journée type, pour moi, ça ' n a pas de sens que parce le temps est très long et que les sont étapes tellement multiples qu en ' fait, il n ' a y pas de régularité. J ' avance mon livre fur au et à de mesure là où il m ' emmène.;swap;8.0;5.0;5.0;1.0;1.0;8.0;7.0
103_translation;Entretien 01 25.03.13 01_traitement_A;Donc, pour créer un livre, j'ai besoin d'au moins trois semaines pour un livre, donc ça n'a pas de sens pour moi, parce que le temps est très long et que les étapes sont si variées qu'il n'y a pas de régularité.;translation;8.0;5.0;5.0;1.0;1.0;8.0;7.0
104_contextual;Entretien 01 25.03.13 01_traitement_A;Ce qui fait que tout chose- dépend du temps long et de la non- moindrepétitivité, c'est passionnant et ça rend le métier intéressant. Mais après coup, je ne peux pas définir comme ça fait que je déteste laisser un peu d'administratif si j' EN ai besoin. Je ferais glisser tout ce que se peux glisser dès que les temps de séchage sont devant moi.;contextual;1.0;1.0;1.0;4.0;1.0;6.0;1.0
104_original;Entretien 01 25.03.13 01_traitement_A;Ce qui fait que cette chose-là du temps long et de la non-répétitivité, c'est passionnant et ça rend le métier intéressant. Mais du coup, je ne peux pas définir comme ça parce que je vais faire un peu d'administratif si j'en ai besoin. Je vais glisser tout ce que je peux glisser dès que les temps de séchage sont devant moi.;original;1.0;1.0;1.0;4.0;1.0;6.0;1.0
104_swap;Entretien 01 25.03.13 01_traitement_A;Ce qui que fait cette chose - là du temps long et la de non - répétitivité, c ' est passionnant ça et rend métier le intéressant. Mais du coup, ne je peux définir pas comme ça parce je que vais faire un d peu ' administratif si j ' en ai besoin. Je vais tout glisser ce que je peux glisser dès que les temps de sont séchage devant moi.;swap;1.0;1.0;1.0;4.0;1.0;6.0;1.0
104_translation;Entretien 01 25.03.13 01_traitement_A;Cela rend cette longue période et la non-compétitivité passionnante et intéressante pour la profession, mais je ne peux pas définir comme ça, parce que je vais faire un peu d'administration quand j'en aurai besoin. Je vais glisser tout ce que je peux glisser dès que le temps de séchage sera devant moi.;translation;1.0;1.0;1.0;4.0;1.0;6.0;1.0
105_contextual;Entretien 01 25.03.13 01_traitement_A;Sinon sinon, la'avance beaucoup en trois premiers kilomètres que j'ai devant moi.;contextual;1.0;1.0;1.0;1.0;1.0;1.0;1.0
105_original;Entretien 01 25.03.13 01_traitement_A;Mais sinon, j'avance vraiment en fonction des étapes que j'ai devant moi.;original;1.0;1.0;1.0;1.0;1.0;1.0;1.0
105_swap;Entretien 01 25.03.13 01_traitement_A;Mais, j sinon vraiment ' avance en fonction des étapes que j ' moi ai devant.;swap;1.0;1.0;1.0;1.0;1.0;1.0;1.0
105_translation;Entretien 01 25.03.13 01_traitement_A;Mais si ce n'est pas le cas, je vais vraiment suivre les étapes que j'ai devant moi.;translation;1.0;1.0;1.0;1.0;1.0;1.0;1.0
106_contextual;Entretien 01 25.03.13 01_traitement_A;Moi, qui fais vraiment juste du mon peinture. Oui, il y en a 36. Comme il y a plusieurs matières, différentes couleurs, il y environ avait 12.;contextual;1.0;1.0;1.0;1.0;1.0;4.0;1.0
106_original;Entretien 01 25.03.13 01_traitement_A;Moi, je fais vraiment juste de la reliure. Oui, il y en a plusieurs. Comme il y a plusieurs matières, plusieurs dossiers, il y en a plusieurs.;original;1.0;1.0;1.0;1.0;1.0;4.0;1.0
106_swap;Entretien 01 25.03.13 01_traitement_A;Moi, je fais vraiment de juste la reliure Oui. il en, y a plusieurs. Comme il y plusieurs a matières, plusieurs dossiers, y il en a. plusieurs;swap;1.0;1.0;1.0;1.0;1.0;4.0;1.0
106_translation;Entretien 01 25.03.13 01_traitement_A;Oui, il y en a plusieurs, il y a plusieurs documents, il y en a plusieurs.;translation;1.0;1.0;1.0;1.0;1.0;4.0;1.0
107_contextual;Entretien 01 25.03.13 01_traitement_A;Peut-être et je dois trouver la parure. La chasse aux coiffes, c' étant un moment vraiment technique. Je croyais qu'il faudrait donc j' ai chercher un jour pour comprendre de quoi on parle.;contextual;3.0;7.0;3.0;1.0;1.0;9.0;1.0
107_original;Entretien 01 25.03.13 01_traitement_A;Peut-être que je vais choisir la parure. La parure des coiffes, c'est un moment vraiment technique. Je pense qu'il faudrait que j'aille chercher un livre pour comprendre de quoi on parle.;original;3.0;7.0;3.0;1.0;1.0;9.0;1.0
107_swap;Entretien 01 25.03.13 01_traitement_A;Peut - être que je choisir vais la parure La parure. des, coiffes c ' est un moment technique vraiment. pense qu Je ' il que faudrait j aille ' un chercher livre pour comprendre de quoi on parle.;swap;3.0;7.0;3.0;1.0;1.0;9.0;1.0
107_translation;Entretien 01 25.03.13 01_traitement_A;Je dois aller chercher un livre pour comprendre de quoi on parle.;translation;3.0;7.0;3.0;1.0;1.0;9.0;1.0
108_contextual;Entretien 01 25.03.13 01_traitement_A;Alors, avec coiffe livres, c'est vraiment l'endroit sur un livre où le dos, ce qu'on appelle la tranche de bibliothèque, mais dessous est le dos, l' partie où toutes les pages sont assemblées, où on ne peut pas tomber. La coiffe, c'est toute jonction entre le dos et une des tranches, soit de tête ou de queue, donc en haut soit en bas. C'est exactement l'endroit où on trouve la tranche file qui est souvent brodée, là, elle.;contextual;1.0;9.0;8.0;1.0;1.0;9.0;1.0
108_original;Entretien 01 25.03.13 01_traitement_A;Alors, les coiffes, c'est vraiment l'endroit sur un livre où le dos, ce qu'on appelle la tranche en bibliothèque, mais qui est le dos, l'endroit où toutes les pages sont assemblées, où on ne peut pas ouvrir. La coiffe, c'est la jonction entre le dos et une des tranches, soit de tête ou de queue, donc en haut ou en bas. C'est aussi l'endroit où on trouve la tranche file qui est souvent brodée, justement, elle.;original;1.0;9.0;8.0;1.0;1.0;9.0;1.0
108_swap;Entretien 01 25.03.13 01_traitement_A;Alors, les coiffes, c ' est vraiment ' l sur endroit un livre où le dos, ce qu ' on appelle la tranche en bibliothèque, mais qui est le dos, l ' endroit toutes où les pages sont assemblées, où on ne pas peut ouvrir. La coiffe, c est ' la jonction entre le dos et une des tranches, soit de tête ou queue de, donc en en haut ou bas. C ' est aussi l ' endroit où on trouve tranche la file qui est souvent brodée justement, , elle.;swap;1.0;9.0;8.0;1.0;1.0;9.0;1.0
108_translation;Entretien 01 25.03.13 01_traitement_A;Donc, les coiffures, c'est vraiment l'endroit sur un livre où le dos, ce qu'on appelle le disque dans la bibliothèque, mais c'est le dos, l'endroit où tous les côtés sont assemblés, où on ne peut pas ouvrir. La coiffure est le croisement entre le dos et l'un des disques, soit de la tête ou de la queue, soit en haut ou en bas. C'est aussi l'endroit où on trouve le serpent qui est souvent brodé, juste elle.;translation;1.0;9.0;8.0;1.0;1.0;9.0;1.0
109_contextual;Entretien 01 25.03.13 01_traitement_A;On trouve la version exacte de ce truc-là. C'est un petit ruban de satin qu'on trouve à cet endroit-là. Un'<unk> un endroit très technique parce depuis mes reliures ont commencé à différencier leur niveau des autrescoches de coiffes.;contextual;1.0;5.0;1.0;1.0;1.0;6.0;1.0
109_original;Entretien 01 25.03.13 01_traitement_A;On trouve la version industrielle de ce truc-là. C'est un petit ruban de tissu qu'on trouve à cet endroit-là. C'est un endroit très technique parce que les reliures ont tendance à rompre au niveau des encoches de coiffes.;original;1.0;5.0;1.0;1.0;1.0;6.0;1.0
109_swap;Entretien 01 25.03.13 01_traitement_A;On trouve la version industrielle de truc ce - là. C ' est un petit ruban de tissu qu ' on trouve cet à - endroit là. C ' est un très endroit technique parce que ont les reliures à tendance rompre au niveau des encoches coiffes de.;swap;1.0;5.0;1.0;1.0;1.0;6.0;1.0
109_translation;Entretien 01 25.03.13 01_traitement_A;Nous trouvons la version industrielle de ce truc, un petit ruban de tissu que nous trouvons là, un endroit très technique parce que les reliures ont tendance à se casser dans l'oreiller.;translation;1.0;5.0;1.0;1.0;1.0;6.0;1.0
10_contextual;Entretien 01 24.10.03 02_traitement_A;Après ces étapes. Il g avait des tâches où on va faire du tracé. On va tracer le vitra art sur feuilles papier pour éventuellement le reproduire sur les verre.;contextual;1.0;1.0;1.0;1.0;1.0;3.0;1.0
10_original;Entretien 01 24.10.03 02_traitement_A;Toutes les étapes. Il y a des jours où on va faire du tracé. On va tracer le vitrail sur le papier pour pouvoir le découper sur du verre.;original;1.0;1.0;1.0;1.0;1.0;3.0;1.0
10_swap;Entretien 01 24.10.03 02_traitement_A;Toutes les étapes. Il y a des jours on où faire va tracé du. On le va tracer sur vitrail papier le pour le pouvoir sur découper du. verre;swap;1.0;1.0;1.0;1.0;1.0;3.0;1.0
10_translation;Entretien 01 24.10.03 02_traitement_A;Il y a des jours où on enregistre le verre pour le couper en verre.;translation;1.0;1.0;1.0;1.0;1.0;3.0;1.0
110_contextual;Entretien 01 25.03.13 01_traitement_A;, de la jonction entre la spirale, le dos et le plat, c'est sur'endroit le plus fragile. Sur une reliure à restaurer, se'est immanquablement le'endroit où ça saute le plus vite, le plus rapidement possible. Donc, il faut être vraiment en fin sur cet endroit sauf qu'il y aura beaucoup d'enjeux de frottement, d'épaisseur qui doivent se battre entre elles et qu'il faut bien placer afin que ça fonctionne parce que sinon, ça ne fonctionne pas.;contextual;6.0;6.0;6.0;1.0;1.0;9.0;6.0
110_original;Entretien 01 25.03.13 01_traitement_A;Donc, de la jonction entre la coiffe, le dos et le plat, c'est l'endroit le plus fragile. Sur une reliure à restaurer, c'est immanquablement l'endroit où ça saute le plus vite, le plus rapidement possible. Donc, il faut être vraiment très fin sur cet endroit parce qu'il y a beaucoup d'enjeux de frottement, d'épaisseur qui doivent se lier entre elles et qu'il faut bien placer pour que ça fonctionne parce que sinon, ça ne fonctionne pas.;original;6.0;6.0;6.0;1.0;1.0;9.0;6.0
110_swap;Entretien 01 25.03.13 01_traitement_A;Donc, de la jonction entre la, coiffe le dos et plat le c, ' est l ' endroit le plus fragile. Sur une reliure à restaurer, c ' immanquablement est l ' endroit ça où saute le plus vite, le plus rapidement possible. Donc, il faut être vraiment très fin sur endroit cet parce qu il ' y a d beaucoup ' enjeux de frottement, d ' épaisseur qui doivent se lier entre elles et qu ' il bien faut placer pour que ça fonctionne parce que sinon, ça fonctionne ne pas.;swap;6.0;6.0;6.0;1.0;1.0;9.0;6.0
110_translation;Entretien 01 25.03.13 01_traitement_A;Donc, de la connexion entre le haut, le dos et l'assiette, c'est l'endroit le plus fragile. Sur une reliure à reconstituer, c'est sans aucun doute l'endroit où il saute aussi vite et aussi vite que possible. Donc, il faut être vraiment très fin à cet endroit, parce qu'il y a beaucoup de problèmes de friction qui doivent se lier entre eux, et il faut bien le placer pour que cela fonctionne, sinon ça ne marche pas.;translation;6.0;6.0;6.0;1.0;1.0;9.0;6.0
111_contextual;Entretien 01 25.03.13 01_traitement_A;Pour la gestuelle, ce qu'il faut faire, sur une reliure en relief à cet emplacement là, c'est qu'avant de coller la peau, il va falloir amincir la peau de manière à créer un bis et que quand on remplit la peau derrière elle-même à cet endroit-là, ça ne fasse pas une épaisseépaisseur qu'on voit depuis le dos. Donc, il faut faire un biseau et conserver suffisamment de matière pour créer des coiffe qui vient se poser en cette tranche. Je ne sais même pour comment on peut comprendre juste avec seulement les mots, mais pour le faire, on s'équipe en général d' un lame, que ce soit un outil à parer ou moi je le fais au scalpel avec une lame de biseau en fait.;contextual;6.0;6.0;6.0;1.0;1.0;9.0;6.0
111_original;Entretien 01 25.03.13 01_traitement_A;Pour la gestuelle, ce qu'il faut faire, sur une reliure en cuir à cet emplacement là, c'est qu'avant de coller la peau, il va falloir amincir la peau de manière à créer un biseau que quand on remplit la peau derrière elle-même à cet endroit-là, ça ne fasse pas une surépaisseur qu'on voit depuis le dos. Donc, il faut faire un biseau et conserver suffisamment de matière pour créer la coiffe qui vient se poser sur la tranche. Je ne sais même pas comment on peut comprendre ça avec seulement les mots, mais pour le faire, on s'équipe en général d'une lame, que ce soit un couteau à parer ou moi je le fais au scalpel avec une lame de biseau en fait.;original;6.0;6.0;6.0;1.0;1.0;9.0;6.0
111_swap;Entretien 01 25.03.13 01_traitement_A;Pour la gestuelle, ce qu ' il faut faire, sur une reliure en cuir à cet emplacement là, c ' est qu ' avant de coller la peau, il va falloir amincir la peau de manière à un créer biseau que quand on remplit la peau derrière elle - à même cet endroit - là, ça ne fasse pas une surépaisseur qu ' on voit depuis le dos Donc. , il faire faut un biseau conserver et suffisamment de matière pour créer la coiffe vient qui se poser sur tranche la. Je ne sais même pas on comment comprendre peut ça avec seulement les mots, pour mais le faire, on s ' équipe en général d ' une lame, que ce soit un couteau à parer ou moi je le fais au scalpel avec une lame de biseau en fait.;swap;6.0;6.0;6.0;1.0;1.0;9.0;6.0
111_translation;Entretien 01 25.03.13 01_traitement_A;Pour ce qu'il faut faire, sur une couverture en cuir dans cet endroit, il faut que la peau soit diluée avant de coller la peau, que si vous remplissez la peau derrière vous dans cet endroit, ce ne soit pas une surépaisseur que vous voyez du dos. Donc, vous devez faire un clipper et garder assez de matériel pour créer la coiffure qui atterrit sur le disque. Je ne sais même pas comment comprendre cela avec seulement les mots, mais pour le faire, vous devez normalement vous équiper d'une lame, si c'est un couteau ou si je le fais avec un scalpel avec une cuisse en effet.;translation;6.0;6.0;6.0;1.0;1.0;9.0;6.0
112_contextual;Entretien 01 25.03.13 01_traitement_A;C'est une grosse lame qu'on utilise à plat. Donc, je vais élaguer la peau depuis l' avant sur la zone bas dos. Il ne peut pas regarder assez loin dans son biseau pour transporter de la matière et il n faut notamment pas trouer la peau, pas percer les pièce.;contextual;1.0;5.0;5.0;1.0;1.0;7.0;1.0
112_original;Entretien 01 25.03.13 01_traitement_A;C'est une grosse lame qu'on utilise à plat. Donc, je vais élaguer la peau depuis l'envers sur la zone du dos. Il ne faut pas aller trop loin dans son biseau pour conserver de la matière et il ne faut évidemment pas trouer la peau, pas percer la peau.;original;1.0;5.0;5.0;1.0;1.0;7.0;1.0
112_swap;Entretien 01 25.03.13 01_traitement_A;C ' est une grosse lame qu ' on utilise à plat. Donc, je vais élaguer peau depuis la l ' envers sur la zone du dos. Il ne faut pas aller trop dans son loin biseau pour conserver de la matière et il ne faut pas évidemment trouer peau, la percer pas la peau.;swap;1.0;5.0;5.0;1.0;1.0;7.0;1.0
112_translation;Entretien 01 25.03.13 01_traitement_A;C'est une grande lame que nous utilisons à plat, donc je vais soulever la peau de l'arrière sur le dos. Il ne faut pas aller trop loin dans ses inclinations pour garder du matériel, et bien sûr, il ne faut pas percer la peau, pas percer la peau.;translation;1.0;5.0;5.0;1.0;1.0;7.0;1.0
113_contextual;Entretien 01 25.03.13 01_traitement_A;... faut analyser son geste technique mais c'est un geste qui deviendra quasiment inenseign</s>NOTUSED. Donc évidemment, je parle en tant qu'élève non en qualité que prof. La manière dont j'ai fait ce geste, c'est que les yeux ne suffisent pas pour le décrire.;contextual;7.0;5.0;4.0;1.0;1.0;10.0;4.0
113_original;Entretien 01 25.03.13 01_traitement_A;Il faut maîtriser son geste technique et c'est un geste qui est quasiment inenseignable. Donc là, je parle en tant qu'élève et en tant que prof. La manière dont j'ai reçu ce geste, c'est que les yeux ne suffisent pas pour le comprendre.;original;7.0;5.0;4.0;1.0;1.0;10.0;4.0
113_swap;Entretien 01 25.03.13 01_traitement_A;Faut maîtriser il son geste technique et c ' est un geste qui est inenseignable quasiment. Donc là, parle je en tant ' qu élève en et tant que prof. manière La dont j ' ai geste reçu ce, c ' est que les yeux ne suffisent pour pas le comprendre.;swap;7.0;5.0;4.0;1.0;1.0;10.0;4.0
113_translation;Entretien 01 25.03.13 01_traitement_A;Il faut maîtriser son geste technique, et c'est un geste presque inexplorable, donc je parle ici en tant qu'élève et professeur, et la façon dont j'ai reçu ce geste est que les yeux ne suffisent pas à les comprendre.;translation;7.0;5.0;4.0;1.0;1.0;10.0;4.0
114_contextual;Entretien 01 25.03.13 01_traitement_A;Oui faut l'entraînement. Il peut vraiment, comme un musicien, pratiquer ses mainss, rater, rater, rater, rater, jusqu'à ce qu'on comprenne, jusqu' à ce qu'on sais comprendre et qu' y ait un geste qui soit sur nous en plus. Je crois que d' Un artisan sur l'autre, on n'a pas la même gestuelle parce que le couteau ou quel que soit le type de lame q'on possède pour faire ça, il y a un processus d'intellectualisation et de redescendre dans la main.;contextual;4.0;3.0;1.0;1.0;4.0;10.0;1.0
114_original;Entretien 01 25.03.13 01_traitement_A;Il faut l'entraînement. Il faut vraiment, comme un musicien, pratiquer ses gammes, rater, rater, rater, rater, jusqu'à ce qu'on comprenne, jusqu'à ce qu'on saisisse et qu'on ait un geste qui soit à nous en plus. Je crois que d'un artisan sur l'autre, on n'a pas la même gestuelle parce que le couteau ou quel que soit le type de lame qu'on utilise pour faire ça, il y a un processus d'intellectualisation et de redescendre dans la main.;original;4.0;3.0;1.0;1.0;4.0;10.0;1.0
114_swap;Entretien 01 25.03.13 01_traitement_A;Faut il l ' entraînement. faut Il vraiment, comme un musicien, pratiquer ses gammes, rater, rater, rater, rater, jusqu ' à ce qu ' on comprenne, jusqu ' à ce qu ' on saisisse et qu ' on ait un geste soit qui à nous en plus. Je que crois ' d un artisan sur l ' autre, on n ' a pas la même parce gestuelle que le couteau ou quel que soit le de type lame qu ' on utilise pour faire ça, il y a un d processus ' intellectualisation et redescendre de dans main la.;swap;4.0;3.0;1.0;1.0;4.0;10.0;1.0
114_translation;Entretien 01 25.03.13 01_traitement_A;Il faut vraiment, comme un musicien, pratiquer ses matières, manquer, manquer, manquer, manquer, manquer jusqu'à ce que nous comprenions jusqu'à ce que nous ayons un geste qui nous appartient en plus. Je crois que d'un artisan à l'autre, nous n'avons pas le même tumulte, parce que le couteau ou quel genre de lame nous utilisons pour cela, il y a un processus d'intellectualisation et aller dans la main.;translation;4.0;3.0;1.0;1.0;4.0;10.0;1.0
115_contextual;Entretien 01 25.03.13 01_traitement_A;Il y a un truc dont ça vient de la main, qui faut l'intellectualiser, il faudrait le désintellectualiser pour que ça soit nous. Je me sais pas vraiment comment le dire, mais il tiens a cet art de l'artisanat qui est vraiment là. Je crois :'il m'a fallu peut-être cinq ou six secondes avant d'être en sécurité avec votre geste-là.;contextual;8.0;5.0;3.0;6.0;3.0;10.0;4.0
115_original;Entretien 01 25.03.13 01_traitement_A;Il y a un truc où ça vient de la main, il faut l'intellectualiser, il faut le désintellectualiser pour que ça soit nous. Je ne sais pas vraiment comment le dire, mais il y a un truc de l'artisanat qui est vraiment là. Je crois qu'il m'a fallu peut-être cinq ou six ans avant d'être en sécurité avec ce geste-là.;original;8.0;5.0;3.0;6.0;3.0;10.0;4.0
115_swap;Entretien 01 25.03.13 01_traitement_A;Il y a truc un où ça vient de la main, faut il ' l intellectualiser, il faut le désintellectualiser pour que ça soit nous. Je ne sais pas comment le vraiment dire, mais il y a un truc de l ' artisanat qui vraiment est là. Je ' crois qu il m ' a fallu peut - cinq être ou six ans avant d ' être en sécurité avec geste ce - là.;swap;8.0;5.0;3.0;6.0;3.0;10.0;4.0
115_translation;Entretien 01 25.03.13 01_traitement_A;Il y a quelque chose qui vient de la main, il faut l'intellectualiser, il faut l'être pour être nous. Je ne sais pas vraiment comment le dire, mais il y a quelque chose d'artisanat qui est vraiment là. Je pense que cela a pris peut-être cinq ou six ans pour que je sois en sécurité avec ce geste.;translation;8.0;5.0;3.0;6.0;3.0;10.0;4.0
116_contextual;Entretien 01 25.03.13 01_traitement_A;Et puisque on en fait deux fois par livre, et qu' chaque livre c'est au minimum soixante étapes à répéter-vingt-dix, cent mille-vingt, ça pousse, on n'a pas tant es possibilités de le répéter selon chaque livre.;contextual;1.0;1.0;;1.0;1.0;5.0;1.0
116_original;Entretien 01 25.03.13 01_traitement_A;Et comme on le fait deux fois par livre, et qu'un livre c'est au minimum soixante étapes à quatre-vingt-dix, à cent-vingt, ça dépend, on n'a pas tant de possibilités de le faire pour chaque livre.;original;1.0;1.0;;1.0;1.0;5.0;1.0
116_swap;Entretien 01 25.03.13 01_traitement_A;Et comme on le fait deux fois livre par, et ' qu livre un c ' est au minimum soixante à étapes quatre - vingt dix -, à cent - vingt, ça dépend, on n a pas ' tant de possibilités de le faire pour chaque. livre;swap;1.0;1.0;;1.0;1.0;5.0;1.0
116_translation;Entretien 01 25.03.13 01_traitement_A;Et comment le faire deux fois par livre, et un livre est au moins 60 pas jusqu'à 90, cent, cela dépend du fait que vous n'avez pas autant de possibilités de le faire pour chaque livre.;translation;1.0;1.0;;1.0;1.0;5.0;1.0
117_contextual;Entretien 01 25.03.13 01_traitement_A;Oui. Je fais un découpage lequel n- il pas;contextual;1.0;1.0;1.0;1.0;1.0;1.0;2.0
117_original;Entretien 01 25.03.13 01_traitement_A;Oui. Je fais un découpage temporel peut-être ?;original;1.0;1.0;1.0;1.0;1.0;1.0;2.0
117_swap;Entretien 01 25.03.13 01_traitement_A;. oui Je fais découpage un temporel peut - être?;swap;1.0;1.0;1.0;1.0;1.0;1.0;2.0
117_translation;Entretien 01 25.03.13 01_traitement_A;Ouais, peut-être que je vais faire une coupe de temps ?;translation;1.0;1.0;1.0;1.0;1.0;1.0;2.0
118_contextual;Entretien 01 25.03.13 01_traitement_A;Ce 'est pas facile de parler de sa tenue. Mais avec une toile de couvrure, on agit sur l' effet, côté grain du cuir, au côté tissu. Et donc créer ce biseau, il va falloir procéder en différents endroits.;contextual;3.0;5.0;3.0;1.0;1.0;5.0;3.0
118_original;Entretien 01 25.03.13 01_traitement_A;Ce n'est pas facile de parler de sa gestuelle. Mais avec une peau de couvrure, on agit sur l'envers, côté chair du cuir, pas côté fleur. Et pour créer ce biseau, il va falloir procéder en plusieurs fois.;original;3.0;5.0;3.0;1.0;1.0;5.0;3.0
118_swap;Entretien 01 25.03.13 01_traitement_A;Ce n ' est facile pas parler sa de de gestuelle. avec Mais une de peau, couvrure agit on sur l ' envers, côté chair du cuir, pas côté fleur. Et pour ce créer biseau, il va falloir procéder plusieurs en fois.;swap;3.0;5.0;3.0;1.0;1.0;5.0;3.0
118_translation;Entretien 01 25.03.13 01_traitement_A;Il n'est pas facile de parler de sa structure, mais avec une peau cousue on agit sur le dos, sur le côté chair du cuir, pas sur la fleur, et pour créer ce bâton, il faut procéder plusieurs fois.;translation;3.0;5.0;3.0;1.0;1.0;5.0;3.0
119_contextual;Entretien 01 25.03.13 01_traitement_A;Moi, je rate souvent plusieurs fois malgré que je ne ms jamais gagnante avec ce geste. Je pars pas du postulat that je dois le rater. Et comme ça, je le réussi toujours.;contextual;2.0;2.0;2.0;1.0;1.0;5.0;5.0
119_original;Entretien 01 25.03.13 01_traitement_A;Moi, je procède en plusieurs fois parce que je ne pars jamais gagnante avec mon geste. Je pars toujours du principe que je vais le rater. Et comme ça, je le réussis.;original;2.0;2.0;2.0;1.0;1.0;5.0;5.0
119_swap;Entretien 01 25.03.13 01_traitement_A;Moi, je en procède plusieurs fois parce que je ne pars gagnante avec jamais mon geste. Je pars toujours du principe que je vais le rater. Et comme le ça, je réussis.;swap;2.0;2.0;2.0;1.0;1.0;5.0;5.0
119_translation;Entretien 01 25.03.13 01_traitement_A;Je pars plusieurs fois parce que je ne gagnerai jamais avec mon geste.;translation;2.0;2.0;2.0;1.0;1.0;5.0;5.0
11_contextual;Entretien 01 24.10.03 02_traitement_A;Pendant plusieurs km, Julien va travailler des tracés. Ensuite, on va rassembler les calibres. Pour on va se mettre aux points pour couper leurs pièces de métal.;contextual;1.0;1.0;1.0;1.0;1.0;3.0;1.0
11_original;Entretien 01 24.10.03 02_traitement_A;Pendant plusieurs jours, on va faire des tracés. Ensuite, on va découper les calibres. Après on va se servir ces calibres pour couper les pièces de verre.;original;1.0;1.0;1.0;1.0;1.0;3.0;1.0
11_swap;Entretien 01 24.10.03 02_traitement_A;Pendant plusieurs jours, va on faire des tracés. on Ensuite, découper va les. calibres on Après se va servir ces calibres pour couper les de pièces verre.;swap;1.0;1.0;1.0;1.0;1.0;3.0;1.0
