id;filename;text;augmentation_type;difficulté_verbalisation
120_translation;Entretien 01 24.10.03 01_traitement_A;C'est très...;translation;0
121;Entretien 01 24.10.03 01_traitement_A;On ne se casse pas la tête.;original;0
121_contextual;Entretien 01 24.10.03 01_traitement_A;Ça ne vous casse pas la journée.;contextual;0
121_swap;Entretien 01 24.10.03 01_traitement_A;On ne se casse la pas tête.;swap;0
121_translation;Entretien 01 24.10.03 01_traitement_A;On ne va pas se casser la tête.;translation;0
122;Entretien 01 24.10.03 01_traitement_A;Il y a des mots un peu techniques, mais ça, c'est couteau à plomb, ouvre-plomb, rabat-plomb.;original;2
122_contextual;Entretien 01 24.10.03 01_traitement_A;Il ya pas deux mots un poil techniques, mais ça, on'est serrure à plomb, ouvre-pl inox, le-pl etc.;contextual;2
122_swap;Entretien 01 24.10.03 01_traitement_A;Y il des a mots un peu, techniques ça, mais est c ' couteau à plomb, - ouvre plomb, - rabat plomb.;swap;2
122_translation;Entretien 01 24.10.03 01_traitement_A;Il y a des mots techniques, mais c'est un couteau à plomb, un rabat, un rabat.;translation;2
123;Entretien 01 24.10.03 01_traitement_A;Et du coup, on rabat tous les plombs.;original;0
123_contextual;Entretien 01 24.10.03 01_traitement_A;Mais du coup, çà recommence tous les 1s.;contextual;0
123_swap;Entretien 01 24.10.03 01_traitement_A;Du et coup on, rabat les tous plombs.;swap;0
123_translation;Entretien 01 24.10.03 01_traitement_A;Et nous devenons tous fous.;translation;0
124;Entretien 01 24.10.03 01_traitement_A;Et ensuite, à chaque intersection, on vient mettre une petite goutte d'oléine.;original;0
124_contextual;Entretien 01 24.10.03 01_traitement_A;Et ensuite, après chaque  achat, on retourne mettre votre petite pincée d'olé nouveau.;contextual;0
124_swap;Entretien 01 24.10.03 01_traitement_A;Ensuite et, à chaque intersection on, vient petite mettre une goutte ' oléine d.;swap;0
124_translation;Entretien 01 24.10.03 01_traitement_A;Et puis, à chaque croisement, il y a une petite goutte d'huile.;translation;0
125;Entretien 01 24.10.03 01_traitement_A;C'est une graisse qui permet à l’étain d'adhérer.;original;0
125_contextual;Entretien 01 24.10.03 01_traitement_A;C' a une technique utilisée permettrait à l étatétain d'ad diérer.;contextual;0
125_swap;Entretien 01 24.10.03 01_traitement_A;' c est une graisse à qui permet l étain ’ ' d adhérer.;swap;0
125_translation;Entretien 01 24.10.03 01_traitement_A;C'est une graisse qui relie l'étain.;translation;0
126;Entretien 01 24.10.03 01_traitement_A;Et on prend une baguette d’étain avec le fer à souder et on vient faire une petite boule comme ça.;original;2
126_contextual;Entretien 01 24.10.03 01_traitement_A;bonjour cela prend une baguette d éétain avec le fer à souder et nos fait tenter une petite coulée comme ceci.;contextual;2
126_swap;Entretien 01 24.10.03 01_traitement_A;Et on prend baguette une ’ d avec étain le fer à souder et on vient une faire petite comme boule ça.;swap;2
126_translation;Entretien 01 24.10.03 01_traitement_A;Et on prend un bâton d'étain avec le fer à souder et on fait une petite balle.;translation;2
127;Entretien 01 24.10.03 01_traitement_A;Oui, ça fait une petite soudure.;original;0
127_contextual;Entretien 01 24.10.03 01_traitement_A;Oui, ça devient moins grosse soudure.;contextual;0
127_swap;Entretien 01 24.10.03 01_traitement_A;Oui, ça une fait soudure. petite;swap;0
127_translation;Entretien 01 24.10.03 01_traitement_A;Oui, c'est une petite soudure.;translation;0
128;Entretien 01 24.10.03 01_traitement_A;Je ne sais pas s'il y a un exemple de vue.;original;3
128_contextual;Entretien 01 24.10.03 01_traitement_A;Je ne sais plus s' il ya avait un exemple de photos.;contextual;3
128_swap;Entretien 01 24.10.03 01_traitement_A;Je ne sais pas s ' il a y exemple un de. vue;swap;3
128_translation;Entretien 01 24.10.03 01_traitement_A;Je ne sais pas s'il y a un exemple.;translation;3
129;Entretien 01 24.10.03 01_traitement_A;Non, bon, ce n'est pas grave.;original;0
129_contextual;Entretien 01 24.10.03 01_traitement_A;Non, bon, sinon p' serait pas vrai.;contextual;0
129_swap;Entretien 01 24.10.03 01_traitement_A;Non, , bon ce ' n grave est pas.;swap;0
129_translation;Entretien 01 24.10.03 01_traitement_A;Non, c'est bon.;translation;0
12_contextual;Entretien 01 24.10.03 01_traitement_A;C'était 7 septembre - 7h 30;contextual;0
12_swap;Entretien 01 24.10.03 01_traitement_A;' c 7h ou était 7h30.;swap;0
12_translation;Entretien 01 24.10.03 01_traitement_A;Il était 7 h 30 ou 7 h 30.;translation;0
13;Entretien 01 24.10.03 01_traitement_A;7h, c'était plutôt pour aller en chantier directement pour partir sur le terrain, déposer les vitraux, reposer les vitraux.;original;0
130;Entretien 01 24.10.03 01_traitement_A;Réutilise le même outil ?;original;1
130_contextual;Entretien 01 24.10.03 01_traitement_A;Quelutilise le même serveur ?;contextual;1
130_swap;Entretien 01 24.10.03 01_traitement_A;Réutilise même outil le?;swap;1
130_translation;Entretien 01 24.10.03 01_traitement_A;Réutiliser le même outil ?;translation;1
131;Entretien 01 24.10.03 01_traitement_A;Alors...;original;1
131_contextual;Entretien 01 24.10.03 01_traitement_A;Page...;contextual;1
131_swap;Entretien 01 24.10.03 01_traitement_A;. alors..;swap;1
131_translation;Entretien 01 24.10.03 01_traitement_A;Alors...;translation;1
132;Entretien 01 24.10.03 01_traitement_A;Des fois, j'utilise mon coupe-verre pour ouvrir mes plombs.;original;0
132_contextual;Entretien 01 24.10.03 01_traitement_A;Quelque fois, j' utilise en presse-verre sur ouvrir mes plombières.;contextual;0
132_swap;Entretien 01 24.10.03 01_traitement_A;Des, fois j ' utilise coupe mon - pour verre plombs ouvrir mes.;swap;0
132_translation;Entretien 01 24.10.03 01_traitement_A;Parfois, j'utilise mon verre pour ouvrir mon esprit.;translation;0
133;Entretien 01 24.10.03 01_traitement_A;Mais bon, il n'y a pas beaucoup de monde qui le font.;original;0
133_contextual;Entretien 01 24.10.03 01_traitement_A;Mais bon, malheureusement y' Y a pas mal de monde en le font.;contextual;0
133_swap;Entretien 01 24.10.03 01_traitement_A;Mais bon, il n ' y pas a beaucoup monde de qui font le.;swap;0
133_translation;Entretien 01 24.10.03 01_traitement_A;Mais il n'y en a pas beaucoup qui le font.;translation;0
134;Entretien 01 24.10.03 01_traitement_A;Qu'est-ce que je fais d'autre avec le même outil?;original;1
134_contextual;Entretien 01 24.10.03 01_traitement_A;Qu' voit-ce que je fais d'autre prendre une nouvelle iPhone?;contextual;1
134_swap;Entretien 01 24.10.03 01_traitement_A;' qu - ce est que fais je d ' avec autre le même outil?;swap;1
134_translation;Entretien 01 24.10.03 01_traitement_A;Qu'est-ce que je fais avec le même outil ?;translation;1
135;Entretien 01 24.10.03 01_traitement_A;Euh...;original;3
135_contextual;Entretien 01 24.10.03 01_traitement_A;22...;contextual;3
135_swap;Entretien 01 24.10.03 01_traitement_A;. euh..;swap;3
135_translation;Entretien 01 24.10.03 01_traitement_A;Euh...;translation;3
136;Entretien 01 24.10.03 01_traitement_A;Par exemple, on réutilise les outils pour la restauration.;original;0
136_contextual;Entretien 01 24.10.03 01_traitement_A;Par exemple, Deco ré recherche des outils pour votre restauration.;contextual;0
136_swap;Entretien 01 24.10.03 01_traitement_A;Par exemple réutilise, on outils les pour la. restauration;swap;0
136_translation;Entretien 01 24.10.03 01_traitement_A;Par exemple, nous réutiliserons les outils pour la récupération.;translation;0
137;Entretien 01 24.10.03 01_traitement_A;On vient...;original;1
137_contextual;Entretien 01 24.10.03 01_traitement_A;On vient le;contextual;1
137_swap;Entretien 01 24.10.03 01_traitement_A;Vient. on..;swap;1
137_translation;Entretien 01 24.10.03 01_traitement_A;On arrive...;translation;1
138;Entretien 01 24.10.03 01_traitement_A;Le vitrail déjà fait a déjà été coupé, déjà monté.;original;0
138_contextual;Entretien 01 24.10.03 01_traitement_A;Tout vitrail préalablement assemblé a déjà était coupé, déjà assemblé.;contextual;0
138_swap;Entretien 01 24.10.03 01_traitement_A;Le déjà vitrail fait a coupé déjà été, monté déjà.;swap;0
138_translation;Entretien 01 24.10.03 01_traitement_A;La fenêtre en verre déjà faite a déjà été coupée, déjà montée.;translation;0
139;Entretien 01 24.10.03 01_traitement_A;Et on vient recouper une pièce de verre parce qu'il y a une casse.;original;0
139_contextual;Entretien 01 24.10.03 01_traitement_A;• Qui vient pour acheterer une pièce de verre parce qu'il on a une matière.;contextual;0
139_swap;Entretien 01 24.10.03 01_traitement_A;On vient et une recouper pièce de parce verre ' qu il a y une casse.;swap;0
139_translation;Entretien 01 24.10.03 01_traitement_A;Et on croise un morceau de verre parce qu'il y a une rupture.;translation;0
13_contextual;Entretien 01 24.10.03 01_traitement_A;7 Mais, c'était plutôt pour finir par crèche directement pour bosser sur la terrain, monter les vitraux, reposer les meubles.;contextual;0
13_swap;Entretien 01 24.10.03 01_traitement_A;7h, c était ' plutôt pour aller chantier en directement partir pour sur terrain le déposer, les vitraux reposer, les vitraux.;swap;0
13_translation;Entretien 01 24.10.03 01_traitement_A;Il était sept heures plus tôt pour aller directement sur le chantier, aller sur le terrain, poser les fenêtres en verre, reposer les fenêtres en verre.;translation;0
14;Entretien 01 24.10.03 01_traitement_A;Ou alors, on était en atelier.;original;0
140;Entretien 01 24.10.03 01_traitement_A;Et du coup, on vient le remettre à l'intérieur.;original;0
140_contextual;Entretien 01 24.10.03 01_traitement_A;Et à coups, Eric vient le remettre à disposition'intérieur.;contextual;0
140_swap;Entretien 01 24.10.03 01_traitement_A;Du coup et, vient on le remettre l à ' intérieur.;swap;0
140_translation;Entretien 01 24.10.03 01_traitement_A;Et puis il rentre.;translation;0
141;Entretien 01 24.10.03 01_traitement_A;C'est ça.;original;0
141_contextual;Entretien 01 24.10.03 01_traitement_A;Il'est dit.;contextual;0
141_swap;Entretien 01 24.10.03 01_traitement_A;' c est. ça;swap;0
141_translation;Entretien 01 24.10.03 01_traitement_A;Exactement.;translation;0
142;Entretien 01 24.10.03 01_traitement_A;Du coup, on réutilise après quand il y a un problème ou une casse quelque part.;original;0
142_contextual;Entretien 01 24.10.03 01_traitement_A;Du changement, on devraitutilise après comme il y a a problème qui se casse quelque part.;contextual;0
142_swap;Entretien 01 24.10.03 01_traitement_A;Du, coup réutilise on après il quand y a un problème ou une quelque casse part.;swap;0
142_translation;Entretien 01 24.10.03 01_traitement_A;C'est pourquoi nous l'utilisons à nouveau s'il y a un problème ou une rupture.;translation;0
143;Entretien 01 24.10.03 01_traitement_A;Sinon...;original;1
143_contextual;Entretien 01 24.10.03 01_traitement_A;Comment...;contextual;1
143_swap;Entretien 01 24.10.03 01_traitement_A;. sinon..;swap;1
143_translation;Entretien 01 24.10.03 01_traitement_A;Sinon...;translation;1
144;Entretien 01 24.10.03 01_traitement_A;Sinon, non.;original;0
144_contextual;Entretien 01 24.10.03 01_traitement_A;Encore, voila.;contextual;0
144_swap;Entretien 01 24.10.03 01_traitement_A;, sinon. non;swap;0
144_translation;Entretien 01 24.10.03 01_traitement_A;Sinon, non.;translation;0
145;Entretien 01 24.10.03 01_traitement_A;En fait, chaque outil...;original;1
145_contextual;Entretien 01 24.10.03 01_traitement_A;En principe, chaque outil tourne;contextual;1
145_swap;Entretien 01 24.10.03 01_traitement_A;Fait, en outil chaque. ..;swap;1
145_translation;Entretien 01 24.10.03 01_traitement_A;En fait, tous les outils...;translation;1
146;Entretien 01 24.10.03 01_traitement_A;Là, en tout cas, il n'y a rien qui me vient où je me dis que je réutilise mon couteau à plomb pour autre chose que couper du plomb.;original;1
146_contextual;Entretien 01 24.10.03 01_traitement_A;Enfin, aucun tout cas, il n'y avait moyen qui me vient où je me dis que Benjamin peut garder mon couteau pour coudre avec autre chose que couper du plomb.;contextual;1
146_swap;Entretien 01 24.10.03 01_traitement_A;Là, tout en cas, n il y ' rien a qui me vient je où me dis que je réutilise mon à couteau pour autre plomb chose que couper du plomb.;swap;1
146_translation;Entretien 01 24.10.03 01_traitement_A;Quoi qu'il en soit, il ne m'est rien arrivé où j'imagine que je coupe mon couteau à plomb pour autre chose que le plomb.;translation;1
147;Entretien 01 24.10.03 01_traitement_A;Ah si.;original;0
147_contextual;Entretien 01 24.10.03 01_traitement_A;si si.;contextual;0
147_swap;Entretien 01 24.10.03 01_traitement_A;Si ah.;swap;0
147_translation;Entretien 01 24.10.03 01_traitement_A;Oh que si.;translation;0
148;Entretien 01 24.10.03 01_traitement_A;Par exemple, le couteau à plomb.;original;0
148_contextual;Entretien 01 24.10.03 01_traitement_A;Seul exemple, ni couteau ni plomb.;contextual;0
148_swap;Entretien 01 24.10.03 01_traitement_A;Exemple par, couteau le à. plomb;swap;0
148_translation;Entretien 01 24.10.03 01_traitement_A;Le couteau au plomb, par exemple.;translation;0
149;Entretien 01 24.10.03 01_traitement_A;Mais là, du coup, c'est au moment de la pose où on va en chantier pour le poser.;original;0
149_contextual;Entretien 01 24.10.03 01_traitement_A;Ouais bon, Paris Sud, c'est au stade de la vente où on va en chantier pour le bitume.;contextual;0
149_swap;Entretien 01 24.10.03 01_traitement_A;, mais là du coup, c est ' moment au de la pose on où va chantier en le pour poser.;swap;0
149_translation;Entretien 01 24.10.03 01_traitement_A;Mais maintenant, il est temps qu'on se mette en route pour le mettre en place.;translation;0
14_contextual;Entretien 01 24.10.03 01_traitement_A;Nous alors, on était encore Australie.;contextual;0
14_swap;Entretien 01 24.10.03 01_traitement_A;Ou, alors était on atelier en.;swap;0
14_translation;Entretien 01 24.10.03 01_traitement_A;Ou on est allés à l'atelier.;translation;0
15;Entretien 01 24.10.03 01_traitement_A;C'était un peu une façon ancienne de travailler là-bas où c'était les filles plutôt en atelier et les garçons plutôt en chantier.;original;0
150;Entretien 01 24.10.03 01_traitement_A;Là, on a besoin à nouveau du couteau à plomb.;original;0
150_contextual;Entretien 01 24.10.03 01_traitement_A;Là, qui a besoin à disposition cette couteau à plumes.;contextual;0
150_swap;Entretien 01 24.10.03 01_traitement_A;, là a on besoin à nouveau du couteau à plomb.;swap;0
150_translation;Entretien 01 24.10.03 01_traitement_A;On a besoin du couteau à plomb.;translation;0
151;Entretien 01 24.10.03 01_traitement_A;Par exemple, s'il n'est pas au bonne mesure le vitrail.;original;0
151_contextual;Entretien 01 24.10.03 01_traitement_A;Parmi exemple, s' il l'est pas la bonne mesure le vit produits sont.;contextual;0
151_swap;Entretien 01 24.10.03 01_traitement_A;Exemple par, s il ' n ' est au pas mesure bonne le. vitrail;swap;0
151_translation;Entretien 01 24.10.03 01_traitement_A;Par exemple, s'il n'est pas la bonne mesure pour la peinture de verre.;translation;0
152;Entretien 01 24.10.03 01_traitement_A;On vient couper les ailes du plomb avec le couteau à plomb du coup.;original;0
152_contextual;Entretien 01 24.10.03 01_traitement_A;On commence couper ! ailes un plomb sur votre couteau à plomb du coup.;contextual;0
152_swap;Entretien 01 24.10.03 01_traitement_A;On vient les couper ailes du avec plomb le couteau à plomb coup du.;swap;0
152_translation;Entretien 01 24.10.03 01_traitement_A;On coupe les ailes du plomb avec le couteau au plomb.;translation;0
153;Entretien 01 24.10.03 01_traitement_A;Et ça s'appelle doler.;original;0
153_contextual;Entretien 01 24.10.03 01_traitement_A;Comme ça devient' a doler.;contextual;0
153_swap;Entretien 01 24.10.03 01_traitement_A;Ça et s ' appelle doler.;swap;0
153_translation;Entretien 01 24.10.03 01_traitement_A;Et ça s'appelle Doler.;translation;0
154;Entretien 01 24.10.03 01_traitement_A;Du coup, ça aussi, on réutilise peut-être après.;original;0
154_contextual;Entretien 01 24.10.03 01_traitement_A;Même coup, lui aussi, elle réa régulièrement-être après.;contextual;0
154_swap;Entretien 01 24.10.03 01_traitement_A;Du coup, aussi ça, réutilise peut on - être. après;swap;0
154_translation;Entretien 01 24.10.03 01_traitement_A;Et ça aussi, peut-être qu'on l'utilisera plus tard.;translation;0
155;Entretien 01 24.10.03 01_traitement_A;Où on prend, on tapote.;original;0
155_contextual;Entretien 01 24.10.03 01_traitement_A;Et on regarde, on tapot les.;contextual;0
155_swap;Entretien 01 24.10.03 01_traitement_A;Prend où on, tapote on.;swap;0
155_translation;Entretien 01 24.10.03 01_traitement_A;Là où on va, on frappe.;translation;0
156;Entretien 01 24.10.03 01_traitement_A;C'est un peu un outil qui nous sert aussi en chantier.;original;0
156_contextual;Entretien 01 24.10.03 01_traitement_A;C'est aussi atelier un lieu qui nous avons actuellement en chantier.;contextual;0
156_swap;Entretien 01 24.10.03 01_traitement_A;' c un est peu qui un outil nous aussi sert en chantier.;swap;0
156_translation;Entretien 01 24.10.03 01_traitement_A;C'est un peu un outil qui nous aide aussi sur le chantier.;translation;0
